Location	Latitude	Longitude	Count
Nairobi	-22.72657	30.0791	100
Népliget	47.4787886	19.108735	99
Baja	46.6249519	17.372601100000004	97
Ibiza	3.25615	31.42239	96
Salzburg	-22.72641	29.39082	96
Sydney	-23.25641	28.4139	94
Pócspetri	47.881273900000004	21.993548	93
Kispest	47.448441100000004	19.1465176	93
Boston	-18.53357	29.65277	92
Gencsapáti	47.2888131	16.594411800000003	92
Jászberény	47.5030505	19.9117887	90
Indiana	36.70892	-105.4025	90
Zamárdi	46.880018299999996	17.945992800000003	89
Komló	46.1911673	18.2613778	89
Bologna	5.59644	31.45129	88
Velencei-tó	47.21364	18.60944	88
Városmajor	47.50826	19.01759	88
Oxford	51.752022	-1.257677	87
Göd	47.68324	19.13417	86
Észak-Magyarország	47.943760499999996	20.3212889	86
Tel-Aviv	14.3208	120.95362	85
Birkenau	49.56104	8.70836	85
Bükk	48.08333	20.5	84
Bécsi út	47.6	18.93333	84
Soroksár	47.402548200000005	19.118460100000004	84
Pannonhalma	47.5502015	17.7541679	83
Markó	47.69589439999999	18.3775188	83
Vál	47.36264	18.67931	83
Orosháza	46.560333899999996	20.6693477	83
Dachau	48.26192	11.4452	83
Körös	46.7175	20.18835	81
Dallas	-32.54626	28.16253	79
Tokaj	48.1235534	21.4113895	79
Middlesbrough	54.53333	-1.2	79
Balmazújváros	47.611627899999995	21.3437378	79
Gellérthegy	47.4845654	19.038769	78
Tura	47.60935	19.594944199999997	78
Hamburg	-33.14181	18.4695	77
Cambridge	52.205276	0.119167	77
Fiume	45.328979	14.457664	76
Granite Island	59.64278	-149.79833	76
Zürich	47.38283	8.53071	75
Angyalföld	47.5383689	19.082082	75
Ferihegy	47.441505	19.2367794	75
Kassa	67.07077	23.66138	75
Katalónia	40.35282	22.36597	74
Kelenföld	47.465171000000005	19.0411082	74
Mályi	48.0147562	20.8236937	74
Rózsadomb	46.0299974	18.2214056	74
Fonyód	46.7467521	17.54946	74
Tihany	46.9122292	17.8917574	72
Wolverhampton	52.58333	-2.11667	72
Putnok	48.2942607	20.434286899999996	71
Visegrád	47.784891200000004	18.970577600000002	71
Libanon	-33.75635	19.00587	71
Majdan	42.56833	21.005	71
Mumbai	18.95963	72.84962	71
Erzsébetváros	47.337260799999996	17.4589382	71
Dubaj	25.276987	55.296249	70
Gyopáros	48.2874513	21.4343944	70
Alpár	46.8174504	19.9909454	70
Ljubljana	46.05108	14.50513	68
Köln	50.93835	6.95427	68
Kőszeg	47.389494899999995	16.5406843	67
Haiti	11.2	35.35	67
Hegyeshalom	47.9144882	17.1558011	66
Miami	-23.70848	30.61765	66
Szakály	46.5244309	18.3839101	66
Manhattan	40.79028	-73.95972	66
Panama	-26.87568	27.70148	65
Birmingham	52.489471	-1.898575	65
Vörösmarty tér	47.49659	19.05067	64
Szigetvár	46.0478884	17.8048056	63
Balatonfenyves	46.7176727	17.4945314	62
Budaörs	47.4600185	18.9541818	62
Darvas	47.1003189	21.339017300000002	60
Virginia	-18.34555	31.97359	59
Erzsébet Tér	46.71667	20.83333	59
Gellért-hegy	46.7	17.1	59
Orfű	46.1380554	18.1551995	59
Karcag	47.314646	20.9240941	58
Bácsalmás	46.1274127	19.3319128	58
Tamási	47.721986799999996	18.503189399999997	58
Mátra	47.2419145	11.423128199999999	58
Dél-Dunántúl	47.696761200000005	19.0428095	58
Hoffenheim	49.27204	8.83841	58
Balatonalmádi	47.035765999999995	18.020089600000002	57
Éger	47.90955	17.9635	57
Kistarcsa	47.544732200000006	19.263637799999998	56
baltimore	54.56708	-1.22335	56
Gyál	47.3845453	19.2173066	56
Kupak	48.2776556	21.396655199999998	56
Szigetköz	47.83333	17.5	55
Hungexpo	47.49193	19.12321	55
Bársonyos	47.5089888	17.921481600000003	55
Dombóvár	46.3778989	18.1332865	55
Tököl	47.322678700000004	18.9632427	54
Hong Kong	22.302711	114.177216	493
Budakeszi	47.509944399999995	18.929382	53
Kiskőrös	46.6206925	19.283675600000002	53
Törökszentmiklós	47.179356799999994	20.409153	52
Guadalajara	8.90943	-72.08085	52
Svábhegy	47.7963236	19.019219399999997	52
Hannover	47.11139	-101.42654	52
Nürnberg	49.4541	11.0768	51
Mountain View	-17.20265	31.42268	51
Makó	46.2150438	20.4751022	50
Szigetszentmiklós	47.345765	19.040903699999998	50
Hortobágy	47.5826139	21.1525371	50
Buchenwald	50.23153	7.11199	50
Nyugat-Dunántúl	47.69752329999999	19.0443872	50
Kiskunhalas	46.4277979	19.483452399999997	49
Arizona	-17.85918	31.98619	49
Szabadka	46.58333	21.18333	48
burgenland	47.84771	16.52687	48
Tapolca	46.882097200000004	17.4389619	48
Ózd	48.21667	20.3	48
Rottenburg	48.47629	8.93528	48
Sárvár	47.2517426	16.9342165	48
Mórahalom	46.2163238	19.8894811	48
Krim	46.36787	14.11207	47
Kulikov	49.99197	24.04372	47
Bodorszék	46.43443	20.07614	47
Marcali	46.5833484	17.412300199999997	47
Tiszafüred	47.6130877	20.7502258	47
Üröm	47.5987004	19.013426199999998	46
Melbourne	-23.10248	27.88239	46
Deák Ferenc Tér	47.49852	19.05465	46
Houston	29.74739	-95.28737	46
Rajna	41.93962	21.20384	46
Pesterzsébet	47.43333	19.11667	46
Kanton	55.62085	57.11626	45
Las Vegas	10.15594	-67.54835	44
Tiszántúl	47	21	44
Budakalász	47.6192785	19.0468565	44
Hévíz	46.79060379999999	17.1834489	44
Kongó	46.81782	17.40693	44
Várhegy	48.2995574	21.4516883	44
Siklós	45.852096	18.2981568	43
Mihályi	47.5157574	17.0950326	43
Darwin	-32.49345	27.61904	43
Alsószentmárton	45.790914799999996	18.3047873	43
Badacsony	46.7937738	17.509797100000004	42
Zirc	47.2613795	17.8718188	42
Dorog	47.7223403	18.7313867	42
Balaton-felvidék	46.91667	17.75	42
Komlós	47.7097195	18.399010999999998	42
Tibet	31.20765	-8.9111	42
Bakony	47.25	17.83333	42
Austin	-29.53333	30.16667	42
Kozármisleny	46.0487525	18.2860822	41
Százhalombatta	47.317199200000005	18.912094800000002	41
Christchurch	37.60486	-76.5344	41
Orlando	-28.59275	25.03108	41
Michigan	33.54397	-105.73887	41
Margit-sziget	47.5267	19.04783	41
Mauthausen	47.75899	12.90306	41
Révfülöp	46.828315	17.6303514	41
Kentucky	-17.93139	31.10194	40
Atlanta	-17.73658	31.37926	40
Peterborough	42.87064	-71.95175	40
Münzenberg	50.4563	8.7293	40
Windsor	-17.08333	30.6	39
Dunkirk	-17.34119	31.05231	39
Bük	41.27896	32.0816	39
Krajna	46.69	16.05056	39
Salisbury	-27.20729	26.79639	39
Bicske	47.490706599999996	18.6358046	38
Kongo	-12.11667	33.03333	38
Csurgó	47.8381461	19.1668986	38
Zimbabwe	-20.3	30.93333	38
Ohio	-25.47169	23.4401	38
Fenyves	46.934849799999995	17.6724945	38
Utrecht	-27.66667	30.31667	38
Mátészalka	47.953911299999994	22.320847699999998	38
Graz	47.07493	15.44089	38
Börzsöny	46.287028	18.5597991	38
Phoenix	-16.71667	29.78333	37
Glasgow	55.860916	-4.251433	37
Hokkaido	43.51669	142.44873	37
Mecsek	46.639421999999996	18.053581100000002	37
Kanizsa	46.879287	18.1571343	37
Hegykő	47.621703100000005	16.7940826	37
Göteborg	57.70716	11.96679	36
Nagymaros	47.78911420000001	18.958726199999997	36
Agárdi	47.1660584	18.6346147	36
Tripoli	32.885353	13.180161	36
Suárez	10.45	-66.76667	36
Jeli Arborétum	47.0754345	16.8928059	36
Kékes	47.87191	20.00709	35
Vecsés	47.409438200000004	19.264825899999998	35
Bábolna	47.642224	17.978746700000002	35
Lyon	-24.06441	26.91678	35
Queensland	38.79317	-76.79136	34
Fertő tó	47.7324	16.71432	34
Oroszlány	47.4897011	18.3148401	34
Pennsylvania	40.74994	-73.99122	34
Balassagyarmat	48.076883200000005	19.292603699999997	34
Harlem	48.53333	-108.78405	34
Sóstó	46.5107813	20.580405499999998	33
Rijeka	43.32333	19.57722	33
Rio De Janeiro	-22.90243	-43.17236	33
Davos	46.80476	9.83723	33
Vancouver	45.63873	-122.66149	33
Montpellier	-17.81571	32.16667	33
Topolya	50.53309	32.40394	33
Kötcse	46.7518662	17.8601652	32
Normafa	47.5029967	18.966390899999997	32
Dubrovnik	43.16333	18.96667	31
Sheffield	-18.47936	31.45608	31
Nagykanizsa	46.4548261	16.992392300000002	31
Kisköre	47.4994568	20.4925043	31
Terézváros	47.5085165	19.0651215	31
Nakama	33.05556	130.68845	30
Sarkad	48.1904311	21.248248899999997	30
Malmö	58.65	16.25	30
Szob	47.8183245	18.8727585	30
Nagyatád	46.229143	17.357096399999996	30
Mezőhegyes	48.046704	20.608712	30
Tiszaújváros	47.928034100000005	21.046705600000003	29
Bangkok	13.70352	100.57718	29
Dunaharaszti	47.359976	19.0953357	29
Őrmező	47.4611541	19.015881	29
Várpalota	47.198695	18.138157	29
Maribor	46.55472	15.64667	29
Wolfsburg	-18.26667	29.73333	29
Ipoly	47.81807	18.84843	29
Tallinn	47.1836354	20.2087891	29
Hajdúböszörmény	47.6716617	21.507894399999998	29
Ruanda	-18.3207	32.15403	28
Louisiana	-22.86883	29.06857	28
Kaba	47.3576246	21.2742641	28
Massachusetts	-18.21859	29.8556	28
Battonya	46.2858683	21.021892899999997	28
Pikes Peak	45.9843	-118.1694	28
Újlipótváros	47.518041100000005	19.054319399999997	27
Zugliget	47.5096537	18.971238600000003	27
Missouri	38.25031	-92.50046	27
Avas	47.152052000000005	17.0060456	27
Villány	45.869764399999994	18.455520800000002	27
Bordeaux	-18.27106	30.12196	27
Szent István Park	47.22662	16.60493	26
Regensburg	49.01681	12.09536	26
Záhony	48.406374299999996	22.1778835	26
Szentgotthárd	46.952850700000006	16.2748541	26
Csákvár	47.3918045	18.464064	26
Balatonszemes	46.806042	17.7789908	26
Dunaföldvár	46.810432	18.9222921	26
Gyurkó	47.81667	20.91667	26
Portsmouth	-24.40128	30.75281	25
Szügy	48.035482	19.3239375	25
Minnesota	-25.45698	23.39643	25
Menlo Park	-25.77111	28.30778	25
Nicosia	37.74745	14.39727	25
Tárnok	47.3668787	18.8660065	25
Rábaköz	47.65	17.21667	25
Heathrow	51.47002	-0.454295	25
Lakitelek	46.873633500000004	20.0003712	25
bristol	45.48459	9.20661	24
Pécel	47.4911201	19.3446801	24
Sussex	-17.37499	31.06807	24
Harkány	45.8477907	18.2359978	24
Celldömölk	47.2579643	17.1521883	24
Woodstock	-20.31101	29.37092	23
Kiskunfélegyháza	46.711326299999996	19.8502905	23
Kamerun	7.92123	-12.10983	23
Kékestető	47.8720076	20.008999399999997	23
New Castle	40.59356	-111.97883	23
Sárospatak	48.3216823	21.565552399999998	23
Szigliget	46.801436200000005	17.4331745	23
Edinburgh	-18.08393	31.03893	23
Düsseldorf	51.22492	6.77425	23
Bagdad	42.39028	21.30972	23
Cigánd	48.2615593	21.8888754	22
Verona	-17.27816	31.07613	22
Luxembourg	49.61167	6.13	21
Közvágóhíd	46.85	16.85	21
Csobánka	47.643690899999996	18.9672147	21
Püspökladány	47.3195803	21.1123019	21
Rotterdam	-24.51667	28.88333	21
Csömör	47.548915799999996	19.224214399999997	21
Utah	-30.2	26.71667	21
